_id,_name,_max_hp,_max_mp,_min_attack,_max_attack,_defense,_min_magic_attack,_max_magic_attack,_fire_resist,_cold_resist,_earth_resist,_dark_resist,_poison_resist,_evasion,_item_grade,_data_type,_inventory_type,_item_type,_equip_slot,_element_type,_hand_type,_max_enhance,_required_skill_level,_nickname
1,가죽 갑옷,30,,,,4,,,,,,,,,NORMAL,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,1,leader_armour1
2,고리 갑옷,40,,,,6,,,,,,,,,NORMAL,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,1,ringmail1
3,미늘 갑옷,40,,,,8,,,,,,,,,NORMAL,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,2,scalemail1
4,사슬 갑옷,60,,,,12,,,,,,,,,NORMAL,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,2,chainmail1
5,판금 갑옷,80,,,,16,,,,,,,,,NORMAL,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,3,platemail1
6,수정 판금 갑옷,80,,,,20,,,,,,,,,NORMAL,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,3,crystalplatemail1
7,트롤 가죽 갑옷,40,,,,8,,,,,,,,,NORMAL,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,1,troll_leader_armour1
8,회색 용 갑옷,60,,,,10,,,,,,,,10,FIXDART,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,1,dragon_armour1
9,붉은 용 갑옷,80,,,,18,,,20,,,,,,FIXDART,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,3,dragon_armour2
10,푸른 용 갑옷,80,,,,18,,,,20,,,,,FIXDART,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,3,dragon_armour3
11,황금 용 갑옷,80,,,,18,,,10,10,10,,,,FIXDART,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,3,dragon_armour4
12,마력의 고리 갑옷,40,20,,,8,10,10,,,,,,,FIXDART,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,2,ringmail3
13,대장군의 사슬 갑옷,60,,,,12,,,10,10,,,10,,FIXDART,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,2,chainmail2
14,황금 판금 갑옷,80,,,,18,,,10,10,10,,10,,FIXDART,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,3,platemail2
15,고대 용 갑옷,80,,,,14,,,10,10,10,10,,,FIXDART,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,5,3,dragon_armour5
16,가죽 갑옷,30,,,,4,,,,,,,,,RANDART,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,1,leader_armour2
17,고리 갑옷,40,,,,6,,,,,,,,,RANDART,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,1,ringmail2
18,미늘 갑옷,40,,,,10,,,,,,,,,RANDART,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,2,scalemail2
19,사슬 갑옷,60,,,,14,,,,,,,,,RANDART,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,3,chainmail3
20,수정  판금 갑옷,80,,,,20,,,,,,,,,RANDART,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,3,crystalplatemail2
21,트롤 가죽 갑옷,40,,,,10,,,,,,,,,RANDART,ITEMDATA,EQUIPMENT,ARMOR,ARMOR,,,2,1,troll_leader_armour2
