_id,_name,_max_hp,_max_mp,_min_attack,_max_attack,_defense,_min_magic_attack,_max_magic_attack,_fire_resist,_cold_resist,_earth_resist,_dark_resist,_poison_resist,_evasion,_item_grade,_data_type,_inventory_type,_item_type,_equip_slot,_element_type,_hand_type,_current_enhance,_max_enhance,_required_skill_level,_nickname
1,메이스,,,5,10,,,,,,,,,,NORMAL,ITEMDATA,EQUIPMENT,MACE,WEAPON,,1,,3,1,mace5
2,플레일,,,10,15,,,,,,,,,,NORMAL,ITEMDATA,EQUIPMENT,MACE,WEAPON,,1,,3,1,mace3
3,모닝스타,,,15,20,,,,,,,,,,NORMAL,ITEMDATA,EQUIPMENT,MACE,WEAPON,,1,,3,2,mace1
4,강철 모닝스타,,,25,30,,,,,,,,,,NORMAL,ITEMDATA,EQUIPMENT,MACE,WEAPON,,1,,3,3,mace2
5,대형 메이스,,,30,35,,,,,,,,,,NORMAL,ITEMDATA,EQUIPMENT,MACE,WEAPON,,2,,3,3,mace6
6,거대 몽둥이,,,40,50,,,,,,,,,,NORMAL,ITEMDATA,EQUIPMENT,MACE,WEAPON,,2,,3,3,mace7
7,푸른빛의 모닝스타,,,30,35,,,,,20,,10,10,,FIXDART,ITEMDATA,EQUIPMENT,MACE,WEAPON,COLD,1,,3,3,mace10
8,가시박힌 거대 몽둥이,,,45,55,,,,,,,,,,FIXDART,ITEMDATA,EQUIPMENT,MACE,WEAPON,,2,,3,3,mace9
9,강철 거대 몽둥이,20,,40,50,,,,,,10,,,,FIXDART,ITEMDATA,EQUIPMENT,MACE,WEAPON,EARTH,2,,3,3,mace11
10,플레일,,,10,15,,,,,,,,,,RANDART,ITEMDATA,EQUIPMENT,MACE,WEAPON,,1,,3,1,mace4
11,거대 몽둥이,,,40,50,,,,,,,,,,RANDART,ITEMDATA,EQUIPMENT,MACE,WEAPON,,2,,3,3,mace8
