_name,_max_hp,_min_attack,_max_attack,_defence,_fire_res,_cold_res,_earth_res,_dark_res,_poison_res,_attackType,_magic1,_magic2
Adder,15,5,8,,-10,-10,,-10,,POISON,,
Ancient Rich,180,30,40,,-10,,,,,DARK,earth4,nec5
Balrug,200,50,60,,,-10,,,,FIRE,fire1,fire4
Baphomet,150,30,50,,,,,,,DARK,nec5,
Bat,10,1,3,,-10,,,-10,-10,,,
Bear,30,10,15,,,,,-10,-10,,,
Beholder,130,25,40,,,,-10,,,DARK,nec5,sum5
Black Bear,50,15,20,,,,,-10,-10,,,
Cyclops Named,100,30,40,,,,,-10,,,,
Cyclops,80,25,30,,,,,-10,,,,
Dark Fiend,200,50,60,,,,,,,DARK,nec5,fire4
Dog,15,3,5,,,,,-10,-10,,,
Dwarf Carpenter,70,25,35,5,,,,-10,,EARTH,,
Dwarf Gimli,100,25,40,10,,,,-10,,EARTH,earth1,
Dwarf,50,20,25,5,,,,-10,,EARTH,,
Elephant Dire,70,20,25,,,,,-10,-10,,,
Elephant Hell,90,25,30,,,-10,,-10,,FIRE,fire7,
Elephant,60,15,20,,,,,-10,-10,,,
Elf Blade Master,80,30,40,,,,,-10,,,,
Elf Bow Master,60,20,25,,,,,-10,,,,
Elf Death Mage,50,20,30,,,,,-10,,DARK,nec2,
Elf Demonologist,50,20,30,,,,,-10,,DARK,sum5,
Elf Knight,60,20,25,5,,,,-10,,,,
Elf Magi,50,15,20,,,-10,,-10,,,fire7,
Elf,45,10,20,,,,,-10,,,,
Ettin,70,20,25,,-10,,,-10,,EARTH,,
Eye Of Floating,50,10,20,,,,-10,,,DARK,earth2,
Eye Of Gold,60,15,20,,,,-10,,,DARK,nec5,
Eye Of Green,70,20,25,,,,-10,,,POISON,poison6,
Eye Of Walk,80,25,30,,,,-10,,,DARK,nec5,nec2
Giant Magi,90,15,30,,,,,-10,,EARTH,fire7,
Giant,90,15,30,,,,,-10,,EARTH,,
Golem,120,25,35,5,,,,,,EARTH,,
Green Fiend,200,50,60,,,,,,,POISON,poison5,poison2
Human Named,50,10,20,,,,,-10,-10,,fire7,
Ice Fiend,200,50,60,,-10,,-10,,,COLD,cold5,cold6
Imp Fire,25,10,15,,,-10,,,,FIRE,,
Imp Ice,25,10,15,,-10,,-10,,,COLD,,
Imp Iron,25,10,15,,,,,,,EARTH,,
Imp Poision,25,10,15,,,,,,,POISON,,
Iron Fiend,200,50,60,,,,,,,EARTH,earth4,earth3
JangshMaster,80,20,30,,-10,,,,,DARK,nec2,
Jiangshi,120,30,40,,-10,,,,,DARK,,
Jiangshi2,70,25,30,,-10,,,,,DARK,,
Jio,120,20,35,,,,,-10,,,,
Koblod Crown,50,20,30,,,,,-10,,,,
Koblod,30,10,20,,,,,-10,,,,
Kobold Archer,30,10,15,,,,,-10,,,,
Kobold Chief,50,15,25,,,,,-10,,,,
Kobold King,40,15,20,,,,,-10,,,,
Kobold Mage,30,10,15,,,,,-10,,,fire7,
Korea Bridal Mask,100,30,40,,,,,-10,-10,,,
Korea Dokkebi,60,10,20,,,,,,,DARK,,
Korea Gomiho,80,20,30,,,,,,,DARK,nec2,
Korea Harubang,60,15,20,5,,,-10,,,EARTH,,
Korea Hong_gil_dong,100,20,40,,,,,,-10,EARTH,earth1,
Korea Jangsug,65,10,20,,-10,,,,,EARTH,,
Korea Man Ghost,70,15,25,,,,,,,DARK,,
Korea Woman Ghost,70,15,25,,,,,,,DARK,,
Little Devi Dark,50,15,20,,,,,,,DARK,nec2,
Little Devi Fire,50,15,20,,,-10,,,,FIRE,fire7,
Little Devi Green,50,15,20,,,,,,,POISON,poison1,
Little Devi Ice,50,15,20,,,,-10,,,COLD,cold8,
Little Devi Iron,50,15,20,5,,,,,,EARTH,earth5,
Mana Viper,60,15,20,,,,,,,DARK,,
Manticore,70,15,25,,,,,-10,,,,
Merfork Baker,80,20,40,,,-10,-10,-10,,COLD,cold2,cold1
Merfork Javelineer,50,15,20,,,-10,-10,-10,,COLD,,
Merfork Warrier,60,20,25,5,,-10,-10,-10,,COLD,,
Merfork,50,10,20,,,-10,-10,-10,,COLD,,
Minota,100,30,40,,,,,-10,,,,
Mummy Anubis,140,40,45,,-10,,,,,DARK,earth1,
Mummy Pharaoh,110,30,35,,-10,,,,,DARK,,
Mummy Warrier,90,25,30,5,-10,,,,,DARK,,
Mummy,50,10,20,,-10,,,,,DARK,,
Naga Azura,100,30,35,,-10,-10,,-10,,POISON,poison6,
Naga Magi,50,15,20,,-10,-10,,-10,,POISON,poison1,
Naga Master,80,20,30,,-10,-10,,-10,,POISON,poison2,
Naga Medusa,100,20,40,,-10,-10,,-10,,POISON,earth2,
Naga SharpShooter,60,20,25,,-10,-10,,-10,,POISON,,
Naga Warrier,70,15,25,5,-10,-10,,-10,,POISON,,
Naga,45,10,15,,-10,-10,,-10,,POISON,,
Ogre Red,100,30,35,,,,,-10,,,,
Ogre,70,20,25,,,,,-10,,,,
Ork HighMage,50,15,25,,,,,-10,-10,,fire5,
Ork King,80,20,30,10,,,,-10,-10,,,
Ork Knight,60,15,20,5,,,,-10,-10,,,
Ork Mage,30,10,15,,,,,-10,-10,,fire7,
Ork Named,70,20,25,5,,,,-10,-10,,,
Ork Rider,50,10,20,,,,,-10,-10,,,
Ork Warrier,40,10,20,5,,,,-10,-10,,,
Ork,30,10,15,,,,,-10,-10,,,
Plant,30,10,15,,-10,-10,-10,-10,,,,
Rat,10,3,5,,,,,-10,-10,,,
Reaper,70,20,25,,,,,,,DARK,,
Rich,130,30,35,,-10,,,,,DARK,earth4,
Sa,100,15,40,,,,,-10,,,,
Skeleton Archer,40,10,15,,,,-10,,,,,
Skeleton Axe,40,10,15,,,,-10,,,,,
Skeleton,40,10,15,,,,-10,,,,,
Slug Named,80,20,30,,,,,-10,,,,
Slug,60,15,20,,,,,-10,,,,
Son,150,30,40,,,,,-10,,,,
Sprite Earth,50,10,20,,,,,-10,,,earth5,
Sprite Fire,50,10,20,,,-10,,-10,,,fire5,
Sprite Ice,50,10,20,,-10,,,-10,,,cold2,
Sprite Light,50,10,20,,,,,-10,,,sum1,
Troll Deep Assasin,80,10,30,,-10,,,-10,,EARTH,,
Troll Deep Shaman,80,20,30,,-10,,,-10,,EARTH,sum3,
Troll Deep,80,15,20,,-10,,,-10,,EARTH,,
Troll Magision,70,15,20,,-10,,,-10,,EARTH,earth1,
Troll,70,10,20,,-10,,,-10,,EARTH,,
Wolf Ware,60,15,20,,,,,-10,-10,,,
Wolf,30,10,15,,,,,-10,-10,,,
Zombie Giant,80,20,25,,-10,,,,,,,
Zombie Knight,60,15,30,5,-10,,,,,,,
Zombie Magi,30,5,10,,-10,,,,,,cold2,
Zombie Miner,50,10,20,,-10,,,,,,,
Zombie1,30,5,10,,-10,,,,,,,
Zombie3,30,5,10,,-10,,,,,,,
