_id,_name,_max_hp,_current_hp,_max_mp,_current_mp,_min_attack,_max_attack,_defense,_min_magic_attack,_max_magic_attack,_fire_resist,_cold_resist,_earth_resist,_dark_resist,_poison_resist,_evasion,_data_type,_inventory_type,_item_type,_turn,_nickname
1,상태이상 회복 물약,,10,,,,,,,,,,,,,,POTIONDATA,CONSUME,POTION,1,cure_potion
2,체력 회복 물약,,50,,,,,,,,,,,,,,POTIONDATA,CONSUME,POTION,1,healing_potion
3,마력 회복 물약,,,,50,,,,,,,,,,,,POTIONDATA,CONSUME,POTION,1,mana_potion
4,투명화 물약,,,,,,,,,,,,,,,10,POTIONDATA,CONSUME,POTION,15,invisibility_potion
5,광폭화 물약,50,50,,,20,20,,,,,,,,,,POTIONDATA,CONSUME,POTION,20,pow_potion
6,저항력 증가 물약,,,,,,,,,,30,30,30,30,30,,POTIONDATA,CONSUME,POTION,20,res_potion
7,속도 증가 물약,,,,,,,,,,,,,,,,POTIONDATA,CONSUME,POTION,15,speed_potion
8,나무 변신 물약,50,50,,,10,10,,,,,,,,,,POTIONDATA,CONSUME,POTION,20,tree_potion
9,마법 공격력 증가 물약,,,,,,,,20,20,,,,,,,POTIONDATA,CONSUME,POTION,1,int_potion
10,레벨 업 물약,,,,,,,,,,,,,,,,POTIONDATA,CONSUME,POTION,1,lvup_potion
