_id,_name,_evasion,_enhance_value,_item_grade,_data_type,_inventory_type,_item_type,_turn,_nickname
1,랜덤 순간이동 주문서,,,NORMAL,SCROLLDATA,EQUIPMENT,SCROLL,3,scroll7
2,무기 강화 주문서,,1,RANDART,SCROLLDATA,EQUIPMENT,SCROLL,,scroll1
3,방어구 강화 주문서,,1,RANDART,SCROLLDATA,EQUIPMENT,SCROLL,,scroll3
4,제어 순간이동 주문서,,,RANDART,SCROLLDATA,EQUIPMENT,SCROLL,,scroll6
5,축복받은 강화 주문서,,3,FIXDART,SCROLLDATA,EQUIPMENT,SCROLL,,scroll2
6,소환 주문서,,,NORMAL,SCROLLDATA,EQUIPMENT,SCROLL,40,scroll5
7,공포 주문서,,,NORMAL,SCROLLDATA,EQUIPMENT,SCROLL,10,scroll8
8,안개 주문서,,,NORMAL,SCROLLDATA,EQUIPMENT,SCROLL,15,scroll9
9,화염 주문서,,,NORMAL,SCROLLDATA,EQUIPMENT,SCROLL,,scroll10
10,침묵 주문서,,,NORMAL,SCROLLDATA,EQUIPMENT,SCROLL,20,scroll11
11,회피 주문서,20,,RANDART,SCROLLDATA,EQUIPMENT,SCROLL,20,scroll12
12,망각 주문서,,,NORMAL,SCROLLDATA,EQUIPMENT,SCROLL,,scroll14
13,부활 주문서,,,FIXDART,SCROLLDATA,EQUIPMENT,SCROLL,,scroll13
14,획득 주문서,,,FIXDART,SCROLLDATA,EQUIPMENT,SCROLL,,scroll4
