_id,_name,_max_hp,_max_mp,_min_attack,_max_attack,_defense,_min_magic_attack,_max_magic_attack,_fire_resist,_cold_resist,_earth_resist,_dark_resist,_poison_resist,_evasion,_data_type,_inventory_type,_item_type,_equip_slot,_element_type,_hand_type,_current_enhance,_max_enhance,_required_skill_level,_nickname
1,초록 지팡이,,,5,10,,5,10,,,,,,,ITEMDATA,EQUIPMENT,STAFF,WEAPON,,2,,3,1,staff1
2,붉은 지팡이,,,5,10,,10,15,,,,,,,ITEMDATA,EQUIPMENT,STAFF,WEAPON,,2,,3,1,staff2
3,검은 지팡이,,,10,15,,15,20,,,,,,,ITEMDATA,EQUIPMENT,STAFF,WEAPON,,2,,3,2,staff3
4,파란 지팡이,,,10,15,,20,25,,,,,,,ITEMDATA,EQUIPMENT,STAFF,WEAPON,,2,,3,2,staff4
5,마법사의 지팡이,,,15,20,,25,30,,,,,,,ITEMDATA,EQUIPMENT,STAFF,WEAPON,,2,,3,3,staff7
6,대지의 지팡이,,,15,20,,25,30,,,10,,,,ITEMDATA,EQUIPMENT,STAFF,WEAPON,EARTH,2,,3,3,staff5
7,불꽃의 지팡이,,,15,20,,25,30,10,,,,,,ITEMDATA,EQUIPMENT,STAFF,WEAPON,FIRE,2,,3,3,staff6
8,어둠의 지팡이,,,15,20,,25,30,,,,10,,,ITEMDATA,EQUIPMENT,STAFF,WEAPON,DARK,2,,3,3,staff8
9,냉기의 지팡이,,,15,20,,25,30,,10,,,,,ITEMDATA,EQUIPMENT,STAFF,WEAPON,COLD,2,,3,3,staff12
10,요정의 지팡이,,20,20,25,,35,40,,,,,10,10,ITEMDATA,EQUIPMENT,STAFF,WEAPON,,2,,3,3,staff9
11,정의의 지팡이,,20,20,25,,35,40,,,,20,10,,ITEMDATA,EQUIPMENT,STAFF,WEAPON,,2,,3,3,staff10
12,파초선,,20,20,25,,35,40,10,10,10,,,,ITEMDATA,EQUIPMENT,STAFF,WEAPON,,2,,3,3,staff11
13,저주받은 지팡이,,40,20,25,,45,50,,,,10,,,ITEMDATA,EQUIPMENT,STAFF,WEAPON,DARK,2,,5,3,staff13
