_id,_name,_max_hp,_max_mp,_min_attack,_max_attack,_defense,_min_magic_attack,_max_magic_attack,_fire_resist,_cold_resist,_earth_resist,_dark_resist,_poison_resist,_evasion,_data_type,_inventory_type,_item_type,_equip_slot,_element_type,_hand_type,_current_enhance,_max_enhance,_required_skill_level,_nickname
1,단검,,,5,10,,,,,,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,,1,,3,1,sword2
2,강철 단검,,,10,15,,,,,,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,,1,,3,1,sword1
3,장검,,,15,20,,,,,,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,,1,,3,2,sword5
4,강철 장검,,,20,25,,,,,,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,,1,,3,2,sword4
5,수호자의 검,,,25,30,,,,,,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,,1,,3,3,sword8
6,투사의 검,,,30,35,,,,,,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,,1,,3,3,sword13
7,대검,,,30,35,,,,,,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,,2,,3,3,sword11
8,강철 대검,,,35,40,,,,,,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,,2,,3,3,sword14
9,식칼,20,,20,25,,,,10,10,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,,1,,3,2,sword7
10,냉기의 검,20,,25,30,,,,,20,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,COLD,1,,3,3,sword9
11,불꽃의 검,20,,25,30,,,,20,,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,FIRE,1,,3,3,sword10
12,기사의 대검,20,,35,40,,,,,,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,,2,,3,3,sword15
13,얼음의 대검,20,,35,40,,,,,20,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,COLD,2,,3,3,sword17
14,화염의 대검,20,,35,40,,,,20,,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,FIRE,2,,3,3,sword18
15,톱날검,,,40,45,,,,,,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,,2,,3,3,sword19
16,저주받은 마검,-10,,35,40,,,,10,10,10,10,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,DARK,2,,9,3,sword20
17,마왕의 검,,,40,45,,,,,,,20,10,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,DARK,2,,3,3,sword21
18,암살자의 검,,,25,30,,,,,,,,,20,ITEMDATA,EQUIPMENT,SWORD,WEAPON,,1,,3,3,sword22
19,서리칼날,,,35,40,,,,,30,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,COLD,2,,3,3,sword23
20,단검,,,10,15,,,,,,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,,1,,3,1,sword3
21,장검,,,20,25,,,,,,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,,1,,3,2,sword6
22,요도,,,25,30,,,,,,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,,1,,3,3,sword12
23,대검,,,35,40,,,,,,,,,,ITEMDATA,EQUIPMENT,SWORD,WEAPON,,2,,3,3,sword16
